code,categorie,description,temps,coef,notes
REC-01,Réception,Réception marchandise (déchargement palette),180,1.2,Avec transpalette électrique
REC-02,Réception,Contrôle à réception (visuel général),60,1.0,État général palette et emballages
REC-03,Réception,Déballage d'un élément (à l'unité),5,1.0,Niveau 1
REC-04,Réception,Déballage / ouverture carton,20,1.0,Avec cutter sécurisé
REC-05,Réception,Compter articles,30,1.1,Par tranche de 10 unités
CTR-01,Contrôle,Contrôle visuel unitaire (par pièce),10,1.0,Vérification état produit
CTR-02,Contrôle,Contrôle élément fini (par pièce),1.5,1.2,Niveau 2
CTR-03,Contrôle,Mise en conformité avant envoi (carton),10,1.5,Contrôle fin - Niveau 3
CTR-04,Contrôle,Mise en conformité avant envoi (palette),60,1.5,Contrôle fin - Niveau 3
ETI-01,Étiquetage,Imprimer étiquette,10,1.0,Imprimante thermique
ETI-02,Étiquetage,Coller étiquette (carton expédition),12,1.0,Position selon consignes client
ETI-03,Étiquetage,Retirer étiquette,25,1.2,Avec décapeur thermique si nécessaire
ETI-04,Étiquetage,Collage étiquette orientée (complexe/précise),5,1.2,Niveau 2
ETI-05,Étiquetage,Collage étiquette orientée (simple),3,1.0,Niveau 1
ETI-06,Étiquetage,Impression inkjet ou caractère manuscrit,3,1.2,Niveau 2
ASS-01,Assemblage,Kit 2 pièces,40,1.2,Assemblage simple - contrôle visuel final
ASS-02,Assemblage,Kit 3-5 pièces,90,1.3,Assemblage complexe selon fiche technique
ASS-03,Assemblage,Emballer film bulles (protection),30,1.1,Protection renforcée produits fragiles
ASS-04,Assemblage,Calage (carton / caisse),3,1.2,Niveau 2
ASS-05,Assemblage,Fermeture sachet mini-grip,3,1.2,Niveau 2
ASS-06,Assemblage,Filmage élément unitaire,12,1.2,Niveau 2
ASS-07,Assemblage,Banderolage produit,12,1.2,Niveau 2
ASS-08,Assemblage,Formage + fermeture étui carton complexe,10,1.2,Niveau 2
ASS-09,Assemblage,Formage + fermeture étui carton simple,5,1.0,Niveau 1
ASS-10,Assemblage,Formage et mise en place fourreau orienté,10,1.2,Niveau 2
ASS-11,Assemblage,Groupage éléments avec élastique,10,1.2,Niveau 2
ASS-12,Assemblage,Insertion élément complexe (orienté/difficile),5,1.2,Niveau 2
ASS-13,Assemblage,Insertion élément (comptage par balance),0.5,1.2,Niveau 2
ASS-14,Assemblage,Insertion élément simple (orienté),2,1.0,Niveau 1
ASS-15,Assemblage,Pliage complexe,6,1.2,Niveau 2
ASS-16,Assemblage,Pliage simple (par rainure),3,1.0,Niveau 1
PRE-01,Préparation,Imprimer bon de préparation,30,1.0,Bon de préparation commande
PRE-02,Préparation,Picking (prélèvement article),20,1.1,Prélèvement article selon bon
PRE-03,Préparation,Reconditionnement élément (comptage/orientation),3,1.2,Niveau 2
STO-01,Stockage,Déplacer palette,120,1.2,Vers zone stockage désignée
STO-02,Stockage,Ranger rayonnage,25,1.1,Respecter plan de rangement FIFO
STO-03,Stockage,Prélever stock,30,1.1,Vérifier référence et quantité
STO-04,Stockage,Inventaire,180,1.2,Comptage physique et saisie informatique
EXP-01,Expédition,Peser colis,15,1.0,Balance de précision
EXP-02,Expédition,Filmer palette,180,1.2,Film étirable machine ou manuel
EXP-03,Expédition,Livraison par la Poste,15,1.0,Dépôt en bureau de poste
EXP-04,Expédition,Mise à disposition transports EPI,10,1.0,Préparation et remise au transporteur EPI
